feedback_id,project_id,source_type,channel,user_segment,user_region,app_version,rating,event_time,feedback_text,ground_truth_module,ground_truth_sentiment
fb_0020,proj_demo_001,community_post,小红书评论,试用用户,西南,1.8.1,3,2026-04-10 14:44:00,整体能用，但图表切换时有一点延迟。 页面没有失败提示让我很焦虑。,性能,neutral
fb_0021,proj_demo_001,app_review,小红书评论,付费用户,华东,1.8.0,1,2026-04-19 19:34:00,付款时验证码一直收不到，最后我直接放弃购买会员了。 这个问题主要出现在 2.0.0 版本。,支付,negative
fb_0022,proj_demo_001,community_post,客服工单,新用户,华中,1.8.0,4,2026-04-16 16:58:00,引导页的案例比之前更容易理解。,新手引导,positive
fb_0023,proj_demo_001,customer_service_ticket,NPS问卷,新用户,华中,1.8.1,2,2026-04-03 17:04:00,搜索“竞品分析”出来很多无关内容，排序不太准。,搜索,negative
fb_0024,proj_demo_001,app_review,NPS问卷,试用用户,华中,2.0.0,5,2026-04-20 08:39:00,这次更新后登录速度比之前快了不少。,登录,positive
fb_0025,proj_demo_001,user_interview,客服工单,付费用户,西南,1.8.1,3,2026-04-07 18:45:00,支付能成功，但希望支持更多优惠券展示。 我是在晚上使用时遇到的。,支付,neutral
fb_0026,proj_demo_001,community_post,微信群反馈,新用户,华东,2.0.0,2,2026-04-03 08:29:00,支付流程步骤太多，点到第三步又跳回上一页，很影响转化。,支付,negative
fb_0027,proj_demo_001,user_interview,App Store,老用户,华北,1.9.0,2,2026-04-17 12:08:00,会员价格页没有说明能不能退款，感觉不够透明。,会员,negative
fb_0028,proj_demo_001,community_post,小红书评论,流失风险用户,华东,2.0.0,2,2026-04-18 19:19:00,生成 PRD 时加载时间太长，不知道是不是失败了。,性能,negative
fb_0029,proj_demo_001,user_interview,App Store,新用户,海外,2.0.0,1,2026-04-04 22:08:00,AI 生成内容里有明显编造的数据，不能直接用于汇报。,AI回复,negative
fb_0030,proj_demo_001,customer_service_ticket,小红书评论,付费用户,华南,1.9.0,2,2026-04-09 12:38:00,会员价格页没有说明能不能退款，感觉不够透明。,会员,negative
fb_0031,proj_demo_001,nps_survey,用户访谈,新用户,华东,1.9.0,3,2026-04-02 09:40:00,支付能成功，但希望支持更多优惠券展示。,支付,neutral
fb_0032,proj_demo_001,nps_survey,微信群反馈,试用用户,西南,2.0.0,2,2026-04-21 12:10:00,第一次使用不知道应该先上传文件还是先选择模板。,新手引导,negative
fb_0033,proj_demo_001,user_interview,微信群反馈,流失风险用户,华南,1.9.1,2,2026-04-05 16:02:00,AI 回复有时候完全答非所问，我问简历优化，它给我讲论文写作。 对长文档的理解不稳定。,AI回复,negative
fb_0034,proj_demo_001,app_review,用户访谈,老用户,海外,1.8.1,2,2026-04-02 12:23:00,第一次使用不知道应该先上传文件还是先选择模板。,新手引导,negative
fb_0035,proj_demo_001,nps_survey,微信群反馈,试用用户,华南,1.8.1,1,2026-04-18 22:55:00,上传 Excel 后页面卡住了二十多秒，没有任何进度提示。,性能,negative
fb_0036,proj_demo_001,app_review,客服工单,试用用户,华北,1.9.1,2,2026-04-06 22:26:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。,AI回复,negative
fb_0037,proj_demo_001,nps_survey,客服工单,老用户,西南,1.9.0,2,2026-04-13 21:02:00,生成 PRD 时加载时间太长，不知道是不是失败了。 建议增加任务进度条。,性能,negative
fb_0038,proj_demo_001,customer_service_ticket,NPS问卷,付费用户,华北,1.8.0,1,2026-04-08 11:01:00,AI 生成内容里有明显编造的数据，不能直接用于汇报。,AI回复,negative
fb_0039,proj_demo_001,nps_survey,小红书评论,流失风险用户,华北,1.8.0,2,2026-04-12 18:32:00,功能很多但入口太分散，新用户容易迷路。,新手引导,negative
fb_0040,proj_demo_001,user_interview,App Store,新用户,华中,1.9.1,2,2026-04-09 10:37:00,AI 回复有时候完全答非所问，我问简历优化，它给我讲论文写作。,AI回复,negative
fb_0041,proj_demo_001,community_post,App Store,高频用户,华中,1.8.1,2,2026-04-11 14:38:00,功能很多但入口太分散，新用户容易迷路。,新手引导,negative
fb_0042,proj_demo_001,app_review,微信群反馈,流失风险用户,海外,1.8.1,2,2026-04-02 19:27:00,功能很多但入口太分散，新用户容易迷路。,新手引导,negative
fb_0043,proj_demo_001,community_post,用户访谈,试用用户,华东,1.9.0,2,2026-04-22 22:21:00,反馈列表一多，筛选就明显变慢。,性能,negative
fb_0044,proj_demo_001,user_interview,微信群反馈,老用户,华南,1.9.1,3,2026-04-11 14:44:00,支付能成功，但希望支持更多优惠券展示。 我是在晚上使用时遇到的。,支付,neutral
fb_0045,proj_demo_001,user_interview,NPS问卷,流失风险用户,华东,1.9.0,3,2026-04-06 17:36:00,整体能用，但图表切换时有一点延迟。,性能,neutral
fb_0046,proj_demo_001,customer_service_ticket,微信群反馈,高频用户,海外,1.8.1,2,2026-04-15 15:28:00,反馈列表一多，筛选就明显变慢。 页面没有失败提示让我很焦虑。,性能,negative
fb_0047,proj_demo_001,app_review,客服工单,试用用户,华北,1.8.1,1,2026-04-21 17:21:00,每次支付都要重新输验证码，太麻烦了，我已经登录了为什么还要验证。 如果能记住可信设备就好了。,支付,negative
fb_0048,proj_demo_001,app_review,NPS问卷,高频用户,海外,2.0.0,2,2026-04-08 15:39:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。 希望能显示引用依据。,AI回复,negative
fb_0049,proj_demo_001,nps_survey,NPS问卷,老用户,华南,1.8.0,2,2026-04-23 19:24:00,搜索“竞品分析”出来很多无关内容，排序不太准。,搜索,negative
fb_0050,proj_demo_001,community_post,NPS问卷,新用户,华中,1.8.1,2,2026-04-14 11:11:00,每次打开 App 都要重新登录，验证码还经常延迟，体验很差。,登录,negative
fb_0051,proj_demo_001,community_post,微信群反馈,付费用户,西南,2.0.0,2,2026-04-15 18:33:00,AI 回复有时候完全答非所问，我问简历优化，它给我讲论文写作。,AI回复,negative
fb_0052,proj_demo_001,customer_service_ticket,小红书评论,高频用户,西南,1.9.0,3,2026-04-18 15:57:00,支付能成功，但希望支持更多优惠券展示。,支付,neutral
fb_0053,proj_demo_001,community_post,NPS问卷,试用用户,华南,1.9.0,2,2026-04-21 12:49:00,第一次使用不知道应该先上传文件还是先选择模板。,新手引导,negative
fb_0054,proj_demo_001,customer_service_ticket,用户访谈,付费用户,华北,2.0.0,3,2026-04-03 19:18:00,会员功能还行，但希望能按月和按次购买。,会员,neutral
fb_0055,proj_demo_001,customer_service_ticket,App Store,高频用户,西南,1.9.0,1,2026-04-13 19:09:00,每次支付都要重新输验证码，太麻烦了，我已经登录了为什么还要验证。 这个问题主要出现在 2.0.0 版本。,支付,negative
fb_0056,proj_demo_001,customer_service_ticket,NPS问卷,高频用户,华中,1.8.0,4,2026-04-15 14:03:00,引导页的案例比之前更容易理解。,新手引导,positive
fb_0057,proj_demo_001,user_interview,用户访谈,高频用户,西南,2.0.0,5,2026-04-13 15:00:00,这次更新后登录速度比之前快了不少。,登录,positive
fb_0058,proj_demo_001,user_interview,NPS问卷,高频用户,华东,1.9.1,5,2026-04-08 15:14:00,AI 帮我把周报改得很清楚，节省了不少时间。,AI回复,positive
fb_0059,proj_demo_001,nps_survey,客服工单,流失风险用户,华中,1.8.0,2,2026-04-13 19:10:00,支付流程步骤太多，点到第三步又跳回上一页，很影响转化。,支付,negative
fb_0060,proj_demo_001,app_review,App Store,试用用户,西南,1.8.1,3,2026-04-19 17:42:00,希望搜索结果能按场景筛选，比如求职、论文、产品文档。,搜索,neutral
fb_0061,proj_demo_001,nps_survey,用户访谈,付费用户,西南,1.9.0,3,2026-04-13 13:13:00,整体能用，但图表切换时有一点延迟。 页面没有失败提示让我很焦虑。,性能,neutral
fb_0062,proj_demo_001,community_post,App Store,付费用户,华南,1.8.0,3,2026-04-16 08:47:00,整体能用，但图表切换时有一点延迟。 建议增加任务进度条。,性能,neutral
fb_0063,proj_demo_001,app_review,微信群反馈,老用户,华南,1.8.1,2,2026-04-08 11:53:00,AI 回复有时候完全答非所问，我问简历优化，它给我讲论文写作。,AI回复,negative
fb_0064,proj_demo_001,customer_service_ticket,NPS问卷,试用用户,华北,1.9.0,3,2026-04-22 09:36:00,希望增加一个示例项目，让我知道完整流程怎么跑。,新手引导,neutral
fb_0065,proj_demo_001,customer_service_ticket,用户访谈,新用户,华中,1.8.0,2,2026-04-23 09:49:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。,AI回复,negative
fb_0066,proj_demo_001,customer_service_ticket,App Store,流失风险用户,海外,1.8.1,2,2026-04-13 14:45:00,支付流程步骤太多，点到第三步又跳回上一页，很影响转化。,支付,negative
fb_0067,proj_demo_001,community_post,App Store,流失风险用户,华东,1.9.0,1,2026-04-10 21:43:00,上传 Excel 后页面卡住了二十多秒，没有任何进度提示。,性能,negative
fb_0068,proj_demo_001,user_interview,App Store,高频用户,西南,1.8.0,3,2026-04-12 09:32:00,支付能成功，但希望支持更多优惠券展示。,支付,neutral
fb_0069,proj_demo_001,nps_survey,小红书评论,老用户,西南,1.8.1,3,2026-04-12 18:57:00,希望增加一个示例项目，让我知道完整流程怎么跑。,新手引导,neutral
fb_0070,proj_demo_001,community_post,NPS问卷,高频用户,西南,2.0.0,3,2026-04-09 17:51:00,支付能成功，但希望支持更多优惠券展示。,支付,neutral
fb_0071,proj_demo_001,app_review,用户访谈,高频用户,华南,1.9.1,1,2026-04-08 21:59:00,AI 生成内容里有明显编造的数据，不能直接用于汇报。,AI回复,negative
fb_0072,proj_demo_001,nps_survey,用户访谈,老用户,西南,1.8.1,5,2026-04-13 13:01:00,AI 帮我把周报改得很清楚，节省了不少时间。,AI回复,positive
fb_0073,proj_demo_001,community_post,小红书评论,付费用户,华中,1.8.0,1,2026-04-11 12:56:00,AI 生成内容里有明显编造的数据，不能直接用于汇报。,AI回复,negative
fb_0074,proj_demo_001,nps_survey,NPS问卷,流失风险用户,华南,1.9.1,3,2026-04-03 11:46:00,支付能成功，但希望支持更多优惠券展示。,支付,neutral
fb_0075,proj_demo_001,app_review,用户访谈,老用户,西南,1.8.1,3,2026-04-15 20:01:00,希望增加一个示例项目，让我知道完整流程怎么跑。,新手引导,neutral
fb_0076,proj_demo_001,nps_survey,微信群反馈,流失风险用户,华北,1.9.1,2,2026-04-22 17:23:00,搜索框没有联想词，新用户不知道该搜什么。,搜索,negative
fb_0077,proj_demo_001,nps_survey,用户访谈,付费用户,华北,1.8.1,5,2026-04-11 13:44:00,这次更新后登录速度比之前快了不少。,登录,positive
fb_0078,proj_demo_001,community_post,小红书评论,老用户,华南,1.8.1,2,2026-04-07 13:07:00,每次打开 App 都要重新登录，验证码还经常延迟，体验很差。,登录,negative
fb_0079,proj_demo_001,community_post,微信群反馈,付费用户,华东,1.8.1,3,2026-04-09 19:37:00,希望搜索结果能按场景筛选，比如求职、论文、产品文档。,搜索,neutral
fb_0080,proj_demo_001,community_post,客服工单,付费用户,华东,1.8.0,2,2026-04-10 08:45:00,支付流程步骤太多，点到第三步又跳回上一页，很影响转化。 这个问题主要出现在 2.0.0 版本。,支付,negative
fb_0081,proj_demo_001,nps_survey,App Store,新用户,华中,1.9.0,5,2026-04-10 19:08:00,会员模板质量不错，适合做正式汇报。,会员,positive
fb_0082,proj_demo_001,user_interview,NPS问卷,新用户,华东,1.9.1,3,2026-04-11 10:03:00,AI 回复速度还可以，但格式经常不稳定。,AI回复,neutral
fb_0083,proj_demo_001,app_review,客服工单,老用户,华中,1.9.0,3,2026-04-03 17:40:00,希望搜索结果能按场景筛选，比如求职、论文、产品文档。,搜索,neutral
fb_0084,proj_demo_001,nps_survey,微信群反馈,流失风险用户,华中,1.8.1,1,2026-04-04 16:48:00,每次支付都要重新输验证码，太麻烦了，我已经登录了为什么还要验证。,支付,negative
fb_0085,proj_demo_001,community_post,NPS问卷,付费用户,华中,2.0.0,3,2026-04-15 12:55:00,支付能成功，但希望支持更多优惠券展示。,支付,neutral
fb_0086,proj_demo_001,customer_service_ticket,小红书评论,老用户,华北,1.8.0,2,2026-04-20 19:06:00,每次打开 App 都要重新登录，验证码还经常延迟，体验很差。,登录,negative
fb_0087,proj_demo_001,app_review,客服工单,新用户,西南,1.9.1,2,2026-04-08 10:35:00,搜索“竞品分析”出来很多无关内容，排序不太准。,搜索,negative
fb_0088,proj_demo_001,customer_service_ticket,用户访谈,试用用户,华北,1.9.1,4,2026-04-16 12:02:00,引导页的案例比之前更容易理解。,新手引导,positive
fb_0089,proj_demo_001,user_interview,小红书评论,流失风险用户,海外,1.8.1,2,2026-04-22 11:59:00,每次打开 App 都要重新登录，验证码还经常延迟，体验很差。,登录,negative
fb_0090,proj_demo_001,customer_service_ticket,用户访谈,老用户,华东,1.8.0,3,2026-04-04 16:14:00,希望增加一个示例项目，让我知道完整流程怎么跑。,新手引导,neutral
fb_0091,proj_demo_001,community_post,用户访谈,高频用户,华东,1.9.1,2,2026-04-10 17:47:00,搜索“竞品分析”出来很多无关内容，排序不太准。,搜索,negative
fb_0092,proj_demo_001,community_post,微信群反馈,高频用户,西南,1.8.0,2,2026-04-23 14:17:00,试用期结束提醒不明显，被扣费后才发现。,会员,negative
fb_0093,proj_demo_001,user_interview,微信群反馈,付费用户,华东,1.8.0,5,2026-04-02 22:27:00,会员模板质量不错，适合做正式汇报。,会员,positive
fb_0094,proj_demo_001,community_post,微信群反馈,新用户,海外,1.9.0,2,2026-04-22 21:55:00,会员价格页没有说明能不能退款，感觉不够透明。,会员,negative
fb_0095,proj_demo_001,nps_survey,用户访谈,老用户,华中,1.9.1,5,2026-04-16 16:41:00,AI 帮我把周报改得很清楚，节省了不少时间。 希望能显示引用依据。,AI回复,positive
fb_0096,proj_demo_001,user_interview,用户访谈,试用用户,华东,1.8.1,3,2026-04-16 13:26:00,整体能用，但图表切换时有一点延迟。,性能,neutral
fb_0097,proj_demo_001,user_interview,小红书评论,高频用户,华中,1.8.0,2,2026-04-14 19:31:00,搜索框没有联想词，新用户不知道该搜什么。,搜索,negative
fb_0098,proj_demo_001,nps_survey,微信群反馈,新用户,海外,2.0.0,3,2026-04-11 09:49:00,整体能用，但图表切换时有一点延迟。 页面没有失败提示让我很焦虑。,性能,neutral
fb_0099,proj_demo_001,community_post,NPS问卷,试用用户,西南,1.8.0,3,2026-04-07 16:23:00,整体能用，但图表切换时有一点延迟。,性能,neutral
fb_0100,proj_demo_001,nps_survey,App Store,新用户,海外,2.0.0,2,2026-04-10 15:56:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。 希望能显示引用依据。,AI回复,negative
fb_0101,proj_demo_001,community_post,NPS问卷,新用户,华南,1.8.0,2,2026-04-10 16:00:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。,AI回复,negative
fb_0102,proj_demo_001,customer_service_ticket,NPS问卷,试用用户,华北,2.0.0,3,2026-04-04 18:53:00,希望搜索结果能按场景筛选，比如求职、论文、产品文档。,搜索,neutral
fb_0103,proj_demo_001,nps_survey,客服工单,高频用户,华中,1.8.1,2,2026-04-14 21:30:00,微信登录偶尔会失败，提示授权过期，但我不知道怎么处理。,登录,negative
fb_0104,proj_demo_001,customer_service_ticket,App Store,付费用户,西南,1.9.0,2,2026-04-17 19:56:00,支付宝支付成功了，但 App 里会员状态没有及时更新。 如果能记住可信设备就好了。,支付,negative
fb_0105,proj_demo_001,user_interview,小红书评论,付费用户,华中,2.0.0,4,2026-04-09 21:00:00,引导页的案例比之前更容易理解。,新手引导,positive
fb_0106,proj_demo_001,user_interview,用户访谈,流失风险用户,华中,1.9.1,3,2026-04-15 16:30:00,整体能用，但图表切换时有一点延迟。,性能,neutral
fb_0107,proj_demo_001,community_post,NPS问卷,老用户,西南,1.8.0,2,2026-04-07 19:15:00,支付宝支付成功了，但 App 里会员状态没有及时更新。,支付,negative
fb_0108,proj_demo_001,nps_survey,NPS问卷,试用用户,海外,1.8.1,2,2026-04-23 22:51:00,反馈列表一多，筛选就明显变慢。,性能,negative
fb_0109,proj_demo_001,community_post,用户访谈,新用户,西南,1.8.0,3,2026-04-02 10:32:00,登录流程能用，但验证码页面提示不够清楚。,登录,neutral
fb_0110,proj_demo_001,customer_service_ticket,NPS问卷,试用用户,华南,1.8.0,5,2026-04-15 08:46:00,会员模板质量不错，适合做正式汇报。,会员,positive
fb_0111,proj_demo_001,nps_survey,小红书评论,新用户,华北,2.0.0,2,2026-04-09 13:39:00,支付宝支付成功了，但 App 里会员状态没有及时更新。,支付,negative
fb_0112,proj_demo_001,nps_survey,微信群反馈,新用户,华中,1.8.0,3,2026-04-11 18:45:00,登录流程能用，但验证码页面提示不够清楚。,登录,neutral
fb_0113,proj_demo_001,app_review,NPS问卷,新用户,海外,1.8.0,1,2026-04-10 11:47:00,付款时验证码一直收不到，最后我直接放弃购买会员了。,支付,negative
fb_0114,proj_demo_001,app_review,用户访谈,付费用户,华北,1.9.1,3,2026-04-01 08:20:00,AI 回复速度还可以，但格式经常不稳定。 最好能有重新生成和质量检查。,AI回复,neutral
fb_0115,proj_demo_001,customer_service_ticket,客服工单,老用户,华东,2.0.0,2,2026-04-19 18:50:00,连续追问时 AI 会忘记前面的问题，上下文衔接不太好。 最好能有重新生成和质量检查。,AI回复,negative
fb_0116,proj_demo_001,community_post,客服工单,老用户,西南,1.9.0,3,2026-04-08 15:58:00,AI 回复速度还可以，但格式经常不稳定。,AI回复,neutral
fb_0117,proj_demo_001,nps_survey,用户访谈,试用用户,华中,1.8.1,3,2026-04-09 18:00:00,希望搜索结果能按场景筛选，比如求职、论文、产品文档。,搜索,neutral
fb_0118,proj_demo_001,nps_survey,小红书评论,付费用户,西南,1.9.0,1,2026-04-12 17:19:00,每次支付都要重新输验证码，太麻烦了，我已经登录了为什么还要验证。,支付,negative
fb_0119,proj_demo_001,nps_survey,微信群反馈,付费用户,华中,1.9.0,1,2026-04-16 09:15:00,付款时验证码一直收不到，最后我直接放弃购买会员了。,支付,negative
fb_0120,proj_demo_001,nps_survey,用户访谈,新用户,华中,1.8.0,2,2026-04-01 21:42:00,试用期结束提醒不明显，被扣费后才发现。,会员,negative
